1009,"10740 S Calhoun Ave, Chicago, IL, 60617",Match,Non_Exact,"10740 S CALHOUN AVE, CHICAGO, IL, 60617","-87.56199,41.70018",111777539,R,17,31,838800,1009
3680,"220 Greenwood Dr, Round Lake Park, IL, 60073",No_Match,,,,,,,,,
3681,"500 N Cedar Lake Rd, Round Lake, IL, 60073",No_Match,,,,,,,,,
3682,"882 W Nippersink Rd, Round Lake, IL, 60073",No_Match,,,,,,,,,
3683,"801 Sunset Dr, Round Lake, IL, 60073",Match,Exact,"801 SUNSET DR, ROUND LAKE, IL, 60073","-88.09693,42.362576",627089912,R,17,97,861403,1000
3684,"401 Chaffer Ave, Roxana, IL, 62084",Match,Exact,"401 CHAFFER AVE, ROXANA, IL, 62084","-90.07668,38.851055",642892037,R,17,119,401000,1007
1022,"1621 W Wabansia Ave, Chicago, IL, 60622",No_Match,,,,,,,,,
2353,"PO Box 320, Greenview, IL, 62642",No_Match,,,,,,,,,
1021,"650 E 91st Pl, Chicago, IL, 60619",Match,Non_Exact,"650 E 91ST PL, CHICAGO, IL, 60619","-87.608215,41.72839",111773156,L,17,31,440900,1018
2352,"147 E Palmer St, Greenview, IL, 62642",Tie,,,,,,,,,
1020,"2524 S Central Park, Chicago, IL, 60623",No_Match,,,,,,,,,
2351,"502 East St, Greenfield, IL, 62044",Match,Exact,"502 EAST ST, GREENFIELD, IL, 62044","-90.20917,39.34347",89167309,R,17,61,973600,1007
2350,"115 Prairie St, Greenfield, IL, 62044",Match,Exact,"115 PRAIRIE ST, GREENFIELD, IL, 62044","-90.21398,39.34915",89161422,L,17,61,973600,3144
1019,"9928 S Crandon Ave, Chicago, IL, 60617",Match,Non_Exact,"9928 S CRANDON AVE, CHICAGO, IL, 60617","-87.56704,41.71487",605527808,R,17,31,510300,4011
1018,"1630 W Barry Ave, Chicago, IL, 60657",Match,Non_Exact,"1630 W BARRY AVE, CHICAGO, IL, 60657","-87.66991,41.937862",605236882,R,17,31,62600,1004
2349,"704 W North St, Grayville, IL, 62844",Match,Non_Exact,"704 W NORTH ST, GRAYVILLE, IL, 62844","-88.004005,38.25769",38220335,L,17,193,958200,2007
1017,"5356 S King Dr, Chicago, IL, 60615",Match,Non_Exact,"5356 S KING DR, CHICAGO, IL, 60615","-87.61606,41.797432",111771052,R,17,31,400300,1003
2348,"728 W North St, Grayville, IL, 62844",Match,Non_Exact,"728 W NORTH ST, GRAYVILLE, IL, 62844","-88.00421,38.257687",38220335,L,17,193,958200,2007
1016,"9300 S Princeton Ave, Chicago, IL, 60620",Match,Non_Exact,"9300 S PRINCETON AVE, CHICAGO, IL, 60620","-87.630516,41.725",111832915,R,17,31,834000,1014
2347,"1925 N IL Route 83, Grayslake, IL, 60030",No_Match,,,,,,,,,
1015,"2035 N Mobile Ave, Chicago, IL, 60639",Match,Non_Exact,"2035 N MOBILE AVE, CHICAGO, IL, 60639","-87.7828,41.917274",111752517,R,17,31,191301,2016
2346,"400 N Lake St, Grayslake, IL, 60030",No_Match,,,,,,,,,
1014,"3939 W 79th St, Chicago, IL, 60652",Match,Non_Exact,"3939 W 79TH ST, CHICAGO, IL, 60652","-87.71981,41.749527",111817087,L,17,31,700401,2003
2345,"103 E Belvidere Rd, Hainesville, IL, 60030",No_Match,,,,,,,,,
1013,"2701 W Foster Ave, Chicago, IL, 60625",Match,Non_Exact,"2701 W FOSTER AVE, CHICAGO, IL, 60625","-87.69663,41.97583",605166375,L,17,31,40201,2005
2344,"400 W Townline Rd, Round Lake, IL, 60073",Match,Non_Exact,"400 W TOWNLINE RD, ROUND LAKE, IL, 60073","-88.08893,42.32809",635518294,L,17,97,861402,3020
1012,"7355 S Jeffery Blvd, Chicago, IL, 60649",Match,Non_Exact,"7355 S JEFFERY BLVD, CHICAGO, IL, 60649","-87.57619,41.761353",605591594,L,17,31,430800,1011
2343,"400 W Townline Rd, Round Lake, IL, 60073",Match,Non_Exact,"400 W TOWNLINE RD, ROUND LAKE, IL, 60073","-88.08893,42.32809",635518294,L,17,97,861402,3020
3674,"1920 Lotus Dr, Round Lake Height, IL, 60073",No_Match,,,,,,,,,
3675,"2000 Lotus Dr, Round Lake Height, IL, 60073",Match,Non_Exact,"2000 LOTUS DR, ROUND LAKE PARK, IL, 60073","-88.10196,42.385666",119671110,R,17,97,861301,1008
3676,"720 Central Park Dr, Round Lake Beach, IL, 60073",No_Match,,,,,,,,,
3677,"1421 Ardmore Dr, Round Lake Beach, IL, 60073",Match,Non_Exact,"1421 N ARDMORE DR, ROUND LAKE BEACH, IL, 60073","-88.0857,42.373764",119631876,L,17,97,861201,1021
3678,"800 High School Dr, Round Lake, IL, 60073",Match,Exact,"800 HIGH SCHOOL DR, ROUND LAKE, IL, 60073","-88.092,42.362423",119631762,L,17,97,861403,1000
3679,"880 W Nippersink Rd, Round Lake, IL, 60073",No_Match,,,,,,,,,
3690,"1325 N Franklin St, Salem, IL, 62881",Match,Non_Exact,"1325 N FRANKLIN ST, SALEM, IL, 62881","-88.95093,38.638405",93053333,L,17,121,952000,3010
3691,"1200 N Broadway Ave, Salem, IL, 62881",No_Match,,,,,,,,,
3692,"1110 S Villa Ave, Villa Park, IL, 60181",Match,Exact,"1110 VILLA AVE, VILLA PARK, IL, 60181","-87.97093,41.91112",112585802,R,17,43,846702,2028
3693,"980 S Riverside Dr, Elmhurst, IL, 60126",No_Match,,,,,,,,,
3694,"17W160 16th St, Oakbrook Terrace, IL, 60181",Match,Exact,"17W160 16TH ST, OAKBROOK TER, IL, 60181","-87.96214,41.853634",112546901,R,17,43,844501,2034
3695,"859 W Missouri Ave, Sandoval, IL, 62882",Match,Non_Exact,"859 W MISSOURI AVE, SANDOVAL, IL, 62882","-89.1322,38.616367",93046391,R,17,121,951800,1003
1033,"2929 W 83rd St, Chicago, IL, 60652",No_Match,,,,,,,,,
2364,"4460 Old Grand Ave, Gurnee, IL, 60031",Match,Non_Exact,"4460 OLD GRAND AVE, GURNEE, IL, 60031","-87.91366,42.370975",119731041,R,17,97,861508,2026
1032,"6656 S Normal Blvd, Chicago, IL, 60621",No_Match,,,,,,,,,
2363,"2000 Belle Plaine Av, Gurnee, IL, 60031",Match,Exact,"2000 BELLE PLAINE AVE, GURNEE, IL, 60031","-87.88968,42.387955",119682781,L,17,97,861507,1002
1031,"32 E 115th St, Chicago, IL, 60628",Tie,,,,,,,,,
2362,"13600 W Wadsworth Rd, Wadsworth, IL, 60083",No_Match,,,,,,,,,
1030,"1414 E 61st Pl, Chicago, IL, 60637",Match,Non_Exact,"1414 E 61ST PL, CHICAGO, IL, 60637","-87.59118,41.78329",111771889,L,17,31,420200,1004
2361,"PO Box 439, Griggsville, IL, 62340",No_Match,,,,,,,,,
2360,"PO Box 439, Griggsville, IL, 62340",No_Match,,,,,,,,,
