School ID,School Name,ncessch,school_id,school_name,leaid,latitude,longitude,census_tract,college_enroll_pct,salaries_crdc,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,enrl_AP_crdc,FY 2017 Ending Budget,food_stamps,above_pov_rate,internet_rate,emp_rate_25_64,median_earnings,ds_pm_pred
609726,BROOKS HS,170993002031,2031,Brooks College Prep Academy High School,1709930,41.694049,-87.615882,17031490901,0.85,4781425.0,691.0,54.0,4.0,2.0,627,8779490,499,83.5,71.3380281690141,75.3,25813,68.6159
400035,CHICAGO MATH & SCIENCE HS,170993005092,5092,Chicago Math & Science Elementary Charter,1709930,42.008825,-87.672858,17031010202,0.8490000000000001,2232963.0,554.0,45.0,2.0,0.0,112,6831023,250,82.5,69.87704918032787,93.9,25643,70.2399
400094,EPIC HS,170993006088,6088,EPIC Academy High School,1709930,41.744942,-87.549779,17031460100,0.8420000000000001,3436328.0,518.0,29.0,1.0,0.0,32,5988562,489,59.5,67.51131221719457,79.7,25115,67.9392
609753,CHICAGO AGRICULTURE HS,170993005147,5147,Chicago High School for Agricultural Sciences,1709930,41.690023,-87.717329,17031740400,0.8420000000000001,4145785.25,289.0,44.0,2.0,8.0,36,9198786,83,96.3,73.54235423542355,96.5,50254,68.78359999999999
609746,KENWOOD HS,170993000925,925,Kenwood Academy High School,1709930,41.803407,-87.589655,17031390700,0.831,8097600.5,1050.0,101.5,5.0,3.0,400,14429178,165,80.6,76.33100091268633,88.9,44058,68.693
610340,CHICAGO ACADEMY HS,170993005061,5061,Chicago Academy High School,1709930,41.943327,-87.776988,17031171100,0.8290000000000001,2478414.0,451.0,34.0,1.0,0.0,93,5315770,56,89.7,75.47619047619048,97.0,36960,73.02199999999999
610524,ALCOTT HS,170993006072,6072,Alcott Humanities High School,1709930,41.935468,-87.680351,17031051400,0.825,4869135.0,264.0,62.0,2.0,0.0,84,8184750,69,91.8,88.31003811944092,95.3,61000,70.7462
609694,HANCOCK HS,170993001980,1980,Hancock College Preparatory High School,1709930,41.791703,-87.724928,17031620300,0.81,4828365.0,835.0,57.5,3.0,0.0,349,8207701,448,90.1,79.17711991971902,91.8,28426,71.5166
610384,INFINITY HS,170993005795,5795,Infinity Math  Science & Tech High School,1709930,41.834922,-87.735531,17031830500,0.797,2051183.5,399.0,27.5,1.0,0.0,93,4415800,256,69.4,76.86567164179104,90.4,22264,72.0762
610392,WORLD LANGUAGE HS,170993005788,5788,World Language High School,1709930,41.835226,-87.735982,17031830500,0.77,1815029.625,341.0,23.5,2.0,0.0,105,3727377,256,69.4,76.86567164179104,90.4,22264,72.0762
