schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps
610131,Plamondon,Ambrose Plamondon Elementary School,Plamondon,Plamondon Elem School,2642,W,15th Pl,Chicago,IL,60608,5450.0,24981,ES,29.0,North Lawndale,North Lawndale,19.0,2.0,170318433001043,41.8529278365,-87.6832907521999,170993001037,_170993001037,17031843300
609808,Haley,Alex Haley Elementary Academy,Haley,Haley Elem Academy,11411,S,Eggleston Ave,Chicago,IL,60628,2360.0,22301,ES,49.0,Roseland,Far South Side,22.0,5.0,170314912001022,41.7543655977,-87.5571053283999,170993000615,_170993000615,17031491200
400094,Epic Chtr HS,EPIC Academy High School,Epic Chtr HS,EPIC Academy High School,8255,S,Houston Ave,Chicago,IL,60617,8058.0,63081,HS,46.0,South Chicago,South Shore,11.0,4.0,170314601004005,41.7448481837,-87.5502589914,170993006088,_170993006088,17031460100
610541,Lorca,Federico Garcia Lorca Elementary School,Lorca,Garcia Lorca Elementary School,3231,N,Springfield Ave,Chicago,IL,60618,8330.0,22341,ES,21.0,Avondale,Logan,9.0,8.0,170318311004027,41.9050816855,-87.6448406240999,,_,17031831100
609818,Burbank,Luther Burbank Elementary School,Burbank,Burbank Elem School,2035,N,Mobile Ave,Chicago,IL,60639,2450.0,22401,ES,19.0,Belmont Cragin,Belmont Cragin,26.0,8.0,170311913012018,41.7608470308,-87.5761115040999,170993000627,_170993000627,17031191301
610219,"Washington, G",George Washington Elementary School,"Washington, G",Washington  G Elem School,3611,E,114th St,Chicago,IL,60617,6360.0,25771,ES,52.0,East Side,Far East Side,2.0,4.0,170315206001061,41.8439794256999,-87.6353924773,170993001145,_170993001145,17031520600
400057,Noble Street Chtr - Uic,Noble Street Charter - UIC College Prep,Noble Street Chtr - Uic,Noble Street Charter High School,1231,S,Damen Ave,Chicago,IL,60608,1936.0,66147,HS,28.0,Near West Side,Near West,23.0,2.0,170318429004028,41.8658167123999,-87.6761476289999,170993003479,_170993003479,17031842900
609852,Chappell,Eliza Chappell Elementary School,Chappell,Chappell Elem School,2135,W,Foster Ave,Chicago,IL,60625,2750.0,22681,ES,4.0,Lincoln Square,Ravenswood,30.0,12.0,170310404022002,41.952782075,-87.6509792475,170993000658,_170993000658,17031040402
610030,Kozminski,Charles Kozminski Elementary Community Academy,Kozminski,Kozminski Elem Community Academy,936,E,54th St,Chicago,IL,60615,4390.0,31151,ES,41.0,Hyde Park,Hyde Park,14.0,3.0,170314105001000,41.7236263954999,-87.6395573453999,170993000903,_170993000903,17031410500
400130,Yccs Chtr - Youth Development,YCCS-Community Youth Development Institute HS,Yccs Chtr - Youth Development,Youth Connections Charter HS,7836,S,Union Ave,Chicago,IL,60620,9047.0,66614,HS,71.0,Auburn Gresham,Auburn Gresham,5.0,3.0,170317101001017,41.7513776106,-87.6416945471,170993003473,_170993003473,17031710100
610065,Till,Emmett Louis Till Math and Science Academy,Till,Till Elem Math & Science Academy,6543,S,Champlain Ave,Chicago,IL,60637,4740.0,24441,ES,42.0,Woodlawn,Woodlawn,13.0,3.0,170314207002004,41.8299923302,-87.6411392589999,170993001165,_170993001165,17031420700
610017,Saucedo,Maria Saucedo Elementary Scholastic Academy,Saucedo,Saucedo Elem Scholastic Academy,2850,W,24th Blvd,Chicago,IL,60623,4250.0,29151,ES,30.0,South Lawndale,Pilsen - Little Village,16.0,7.0,170318407002011,41.8580653653,-87.6522648960999,170993004917,_170993004917,17031840700
