School ID,School Name,ncessch,school_id,school_name_x,leaid_x,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,latitude_x,longitude_x,census_tract_x,hs_graduates,enrollment_crdc,tot_hhld_census_tract,college_enrollment,college_enrollment_pct,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,above_pov_rate,internet_rate,emp_rate_25_64,FY 2017 Ending Budget,food_stamps,median_earnings,ds_pm_pred,opportunity_index
609682,RICHARDS HS,170993000718,718,Richards Career Academy HS,1709930,5009 S Laflin St,Chicago,IL,60609,5009 S Laflin St,Chicago,IL,60609,41.802843,-87.662097,17031611200,42,217,708,20,47.6,-0.7568785489193286,-0.1500238106112906,0.14358268960138648,-0.41820653452304923,0.25435372419926405,-0.9315391306143308,-1.1674140543692761,-1.065845667382634,-0.378047147942858,0.10244680871735375,-0.5930953792481866,-1.0404629823209401,-0.4174306481964884,-0.49373543704695216
609691,NORTH-GRAND HS,170993005074,5074,North-Grand High School,1709930,4338 W Wabansia Ave,Chicago,IL,60639,4338 W Wabansia Ave,Chicago,IL,60639,41.912521,-87.735313,17031230500,184,960,1124,126,68.5,-0.622510388321358,-0.3578424971646081,0.006010259805865367,-0.41820653452304923,-0.5068354056293691,-0.1449905469998799,-0.9016307555306838,-0.4312943326981907,0.9380611724598885,-0.6344614764523253,-0.881269427075058,-0.6222723485944133,1.0333068381126334,-0.27261041866234986
609692,SIMEON HS,170993000758,758,Simeon Career Academy High School,1709930,8147 S Vincennes Ave,Chicago,IL,60620,8147 S Vincennes Ave,Chicago,IL,60620,41.74549,-87.634742,17031842400,303,1335,1275,202,66.7,-0.2886476528395553,-0.6767450074322374,-0.8252713152507054,-0.41820653452304923,-0.6673737002014672,-0.9315391306143308,-0.09763627654394165,0.21388351627519364,-1.3098052508828557,-0.7046864485669931,0.19332688432200054,-0.26324509023841347,-0.7806229810785023,-0.5043514605826813
609694,HANCOCK HS,170993001980,1980,Hancock College Preparatory HS,1709930,4034 W 56th St,Chicago,IL,60629,4034 W 56th St,Chicago,IL,60629,41.791703,-87.724928,17031620300,200,971,1993,162,81,0.01583512516254771,-0.5220859115445046,-0.3295092643813306,-0.41820653452304923,-0.6201628230899793,1.0640175836143726,0.9787860837523563,0.7576556768459678,0.3091244529753894,-0.8248955456677016,0.14995833192893002,-0.28861917630937783,0.35517849629796877,0.04823665346627611
609695,AMUNDSEN HS,170993000587,587,Amundsen High School,1709930,5110 N Damen Ave,Chicago,IL,60625,5110 N Damen Ave,Chicago,IL,60625,41.975232,-87.680089,17031040402,225,1226,2479,159,70.7,0.17794819401604697,-0.47191729397193266,-0.5296918444713106,-0.41820653452304923,-0.4996846839377999,-0.7277505138060574,1.1781235578813005,1.9858157789694524,0.9497081487466378,-0.6847135719864059,1.2317549572225563,1.6014611641108374,0.8428213488388526,0.3565899005453176
609698,BOGAN HS,170993000626,626,Bogan High School,1709930,3939 W 79th St,Chicago,IL,60652,3939 W 79th St,Chicago,IL,60652,41.748598,-87.720583,17031700401,160,781,1857,93,58.1,-0.369645514052441,-0.2020513860787974,-0.893092926783501,0.5072303610716697,-0.4013735417122925,-0.9315391306143308,0.6399123777331515,0.41183302098379476,0.33241840554888963,-0.38337571225075473,0.1583654175463137,-0.029610783807786974,0.511122616850103,-0.049985138120460154
609704,FARRAGUT HS,170993000788,788,Farragut Career Academy HS,1709930,2345 S Christiana Av,Chicago,IL,60623,2345 S Christiana Av,Chicago,IL,60623,41.849562,-87.708282,17031300800,170,728,1103,79,46.5,-0.839078701636828,0.037379295175278104,-0.4361539710753913,0.07819883323757962,0.0189167603511965,-0.8018882651833773,-1.1541248894273464,-1.4103855468531084,0.5537109549971397,-0.1023770056372413,-1.5519120173166072,-0.9186031309877264,0.17840796225190447,-0.4883007478541944
609705,FENGER HS,170993000792,792,Fenger Academy High School,1709930,11220 S Wallace St,Chicago,IL,60628,11220 S Wallace St,Chicago,IL,60628,41.689552,-87.637839,17031491200,51,251,694,25,49,-0.5449427515782775,-0.7123915031660352,-0.05087271090640016,-0.41820653452304923,-0.1171742836586154,-0.9315391306143308,-0.18401584866648488,0.09694204944938842,-1.0419247962876068,0.056938014149309456,-0.36865369171436324,-0.5558500574618128,-0.9248839916218445,-0.4381980951230864
609708,FOREMAN HS,170993000799,799,Foreman High School,1709930,3235 N Leclaire Ave,Chicago,IL,60641,3235 N Leclaire Ave,Chicago,IL,60641,41.939595,-87.753937,17031151001,205,792,884,112,54.6,-0.6574040801730904,-0.35703339988664057,-0.5053096670098987,-0.41820653452304923,-0.4023713501140592,-0.8263855766551795,0.320972419126841,-0.31954707173222124,0.6468867652911392,-0.14738644769269785,0.32962861878873173,-0.1687507089462904,1.1100089951268783,-0.10729984910765665
609709,GAGE PARK HS,170993000809,809,Gage Park High School,1709930,5630 S Rockwell St,Chicago,IL,60629,5630 S Rockwell St,Chicago,IL,60629,41.79102,-87.689367,17031835100,66,329,1348,27,40.9,-0.8546754079670792,-0.1701294694139245,-0.34511123307650526,-0.41820653452304923,-0.23924542843793994,-0.03712665219703996,0.1282795274688612,0.07560013357442764,-1.0419247962876068,0.6663128885250179,-0.5318112764336786,-0.6342206524151712,-0.3778096664275437,-0.290774505200864
