School ID,School Name,ncessch,school_id,school_name_x,leaid_x,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,latitude_x,longitude_x,census_tract_x,hs_graduates,enrollment_crdc,tot_hhld_census_tract,college_enrollment,college_enrollment_pct,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,above_pov_rate,internet_rate,emp_rate_25_64,FY 2017 Ending Budget,food_stamps,median_earnings,ds_pm_pred,opportunity_index
609682,RICHARDS HS,170993000718,718,Richards Career Academy HS,1709930,5009 S Laflin St,Chicago,IL,60609,5009 S Laflin St,Chicago,IL,60609,41.802843,-87.662097,17031611200,42,217,708,-0.7800397959042783,-0.6767466563582388,-0.7568785489193286,0.1500238106112906,-0.1435826896013864,0.4182065345230492,0.502493666175244,-0.9315391306143308,-1.167414054369276,-1.065845667382634,-0.378047147942858,-0.1024468087173537,-0.5930953792481866,-1.04046298232094,-0.4174306481964884,-0.49061232877984445
609691,NORTH-GRAND HS,170993005074,5074,North-Grand High School,1709930,4338 W Wabansia Ave,Chicago,IL,60639,4338 W Wabansia Ave,Chicago,IL,60639,41.912521,-87.735313,17031230500,184,960,1124,0.0193412961222853,0.2838929241614667,-0.622510388321358,0.3578424971646081,-0.0060102598058653,0.4182065345230492,-0.2337364288276709,-0.1449905469998799,-0.9016307555306838,-0.4312943326981907,0.9380611724598884,0.6344614764523253,-0.881269427075058,-0.6222723485944133,1.0333068381126334,-0.06399531000509845
609692,SIMEON HS,170993000758,758,Simeon Career Academy High School,1709930,8147 S Vincennes Ave,Chicago,IL,60620,8147 S Vincennes Ave,Chicago,IL,60620,41.74549,-87.634742,17031842400,303,1335,1275,0.5924824564432177,0.2011584148344108,-0.2886476528395553,0.6767450074322374,0.8252713152507054,0.4182065345230492,0.3946583367785237,-0.9315391306143308,-0.0976362765439416,0.2138835162751936,-1.3098052508828557,0.7046864485669931,0.1933268843220005,-0.2632450902384134,-0.7806229810785023,0.05489845864841571
609694,HANCOCK HS,170993001980,1980,Hancock College Preparatory HS,1709930,4034 W 56th St,Chicago,IL,60629,4034 W 56th St,Chicago,IL,60629,41.791703,-87.724928,17031620300,200,971,1993,0.2908292141690428,0.8584381278215777,0.0158351251625477,0.5220859115445046,0.3295092643813306,0.4182065345230492,-0.0030261987414914,1.0640175836143726,0.9787860837523564,0.7576556768459678,0.3091244529753894,0.8248955456677016,0.14995833192893,-0.2886191763093778,0.3551784962979687,0.5277820594671229
609695,AMUNDSEN HS,170993000587,587,Amundsen High School,1709930,5110 N Damen Ave,Chicago,IL,60625,5110 N Damen Ave,Chicago,IL,60625,41.975232,-87.680089,17031040402,225,1226,2479,0.2682052209984796,0.3850128800056464,0.1779481940160469,0.4719172939719326,0.5296918444713106,0.4182065345230492,0.0839766384352145,-0.7277505138060574,1.1781235578813003,1.9858157789694524,0.9497081487466378,0.6847135719864059,1.2317549572225563,1.6014611641108374,0.8428213488388526,0.5797342456638382
609698,BOGAN HS,170993000626,626,Bogan High School,1709930,3939 W 79th St,Chicago,IL,60652,3939 W 79th St,Chicago,IL,60652,41.748598,-87.720583,17031700401,160,781,1857,-0.229522628753909,-0.1941286852837455,-0.369645514052441,0.2020513860787974,0.893092926783501,-0.5072303610716697,-0.417753123314815,-0.9315391306143308,0.6399123777331515,0.4118330209837947,0.3324184055488896,0.3833757122507547,0.1583654175463137,-0.0296107838077869,0.511122616850103,0.03814653011481659
609704,FARRAGUT HS,170993000788,788,Farragut Career Academy HS,1709930,2345 S Christiana Av,Chicago,IL,60623,2345 S Christiana Av,Chicago,IL,60623,41.849562,-87.708282,17031300800,170,728,1103,-0.3351012635498702,-0.7273066342803286,-0.839078701636828,-0.0373792951752781,0.4361539710753913,-0.0781988332375796,-0.2776576607759066,-0.8018882651833773,-1.1541248894273464,-1.4103855468531084,0.5537109549971397,0.1023770056372413,-1.5519120173166072,-0.9186031309877264,0.1784079622519044,-0.4864544036949408
609705,FENGER HS,170993000792,792,Fenger Academy High School,1709930,11220 S Wallace St,Chicago,IL,60628,11220 S Wallace St,Chicago,IL,60628,41.689552,-87.637839,17031491200,51,251,694,-0.7423331406200063,-0.6123975935483064,-0.5449427515782775,0.7123915031660352,0.0508727109064001,0.4182065345230492,1.754470715371819,-0.9315391306143308,-0.1840158486664848,0.0969420494493884,-1.0419247962876068,-0.0569380141493094,-0.3686536917143632,-0.5558500574618128,-0.9248839916218444,-0.19832154101791796
609708,FOREMAN HS,170993000799,799,Foreman High School,1709930,3235 N Leclaire Ave,Chicago,IL,60641,3235 N Leclaire Ave,Chicago,IL,60641,41.939595,-87.753937,17031151001,205,792,884,-0.0862373386736759,-0.3550013423085766,-0.6574040801730904,0.3570333998866405,0.5053096670098987,0.4182065345230492,-0.0514228613216975,-0.8263855766551795,0.320972419126841,-0.3195470717322212,0.6468867652911392,0.1473864476926978,0.3296286187887317,-0.1687507089462904,1.1100089951268783,-0.0392056336162772
609709,GAGE PARK HS,170993000809,809,Gage Park High School,1709930,5630 S Rockwell St,Chicago,IL,60629,5630 S Rockwell St,Chicago,IL,60629,41.79102,-87.689367,17031835100,66,329,1348,-0.7272504785062976,-0.9847028855200584,-0.8546754079670792,0.1701294694139245,0.3451112330765052,0.4182065345230492,-0.2285157949662091,-0.0371266521970399,0.1282795274688612,0.0756001335744276,-1.0419247962876068,-0.6663128885250179,-0.5318112764336786,-0.6342206524151712,-0.3778096664275437,-0.2653659526629962
