School ID,School Name,ncessch,school_id,school_name,leaid,latitude,longitude,census_tract,enrollment_crdc,college_enroll_pct,opportunity_index
609674,CHICAGO VOCATIONAL HS,170993000943,943,Chicago Vocational Career Academy High School,1709930,41.737729,-87.572866,17031450300,880,-0.78705933546098,59.1975360898714
609735,TILDEN HS,170993001161,1161,Tilden Career Communty Academy High School,1709930,41.807504,-87.642518,17031843800,248,-0.8606011215294742,50.89749941781838
609722,MANLEY HS,170993001125,1125,Manley Career Academy High School,1709930,41.870762,-87.700024,17031271800,114,-0.9479319924858111,33.586967273154755
609709,GAGE PARK HS,170993000809,809,Gage Park High School,1709930,41.79102,-87.689367,17031835100,329,-0.9847028855200582,53.07208815124805
609716,KELVYN PARK HS,170993000923,923,Kelvyn Park High School,1709930,41.92744,-87.736051,17031200200,451,-0.9847028855200582,58.33893671691889
610518,AUSTIN CCA HS,170993005984,5984,Austin College and Career Academy High School,1709930,41.884832,-87.762933,17031251900,219,-1.113401011139923,43.96208368303554
610323,BOWEN HS,170993005072,5072,Bowen High School,1709930,41.734303,-87.557463,17031460600,297,-1.2191173286133834,57.638191740932
610245,DOUGLASS HS,170993005789,5789,Douglass Academy High School,1709930,41.890188,-87.767076,17031251400,101,-1.3662009007503717,39.31789402745101
610386,PEACE AND EDUCATION HS,170993002596,2596,Peace and Education Coalition High School,1709930,41.80356,-87.667611,17031611300,104,-1.7385061927221237,22.648668740019122
400147,CAMELOT - EXCEL HS,170993006219,6219,Chicago Excel Academy High School,1709930,41.69194,-87.654321,17031750600,300,-1.8212407020491803,58.532550091967245
609766,VAUGHN HS,170993001018,1018,Vaughn Occupational High School,1709930,41.960243,-87.764367,17031150300,230,-2.3682077359336056,55.0942524919245
609769,GRAHAM HS,170993001076,1076,Graham  R Training Center,1709930,41.849534,-87.624985,17031841000,118,-2.657778518578301,36.896107654338195
609748,YORK HS,170993000693,693,York Alternative High School,1709930,41.843173,-87.695803,17031843500,210,-2.7221275813882335,27.237140902487415
609745,SOUTHSIDE HS,170993005305,5305,Southside Occupational Academy High School,1709930,41.759709,-87.676316,17031672000,269,-2.8646147918959413,39.79487305160711
609783,JEFFERSON HS,170993000894,894,Jefferson Alternative High School,1709930,41.867671,-87.681435,17031838200,215,-2.8646147918959413,29.579534303508208
