Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
22571,Charles Carroll School,"4,705,465","5,010,320","4,735,306","-275,014",49.5,49,51,2,5
23901,Charles Evans Hughes School,"2,759,937","2,611,933","2,607,596","-4,337",29,30.5,29,-1.5,5
23531,Charles G Hammond School,"4,754,596","4,522,804","4,237,883","-284,921",53.5,52,50.5,-1.5,5
22901,Charles Gates Dawes School,"8,959,613","9,235,414","9,136,740","-98,674",84,86,88,2,5
26621,Charles H Wacker School,"3,180,693","3,463,983","3,109,859","-354,124",29.5,34,33,-1,5
31151,Charles Kozminski Community Academy School,"2,901,824","2,837,600","2,647,343","-190,257",34,29.5,29,-0.5,5
23821,Charles N Holden School,"4,714,951","4,782,044","4,226,232","-555,811",54,49,46,-3,5
46291,Charles P Steinmetz Academic Centre,"14,789,586","13,707,030","12,658,025","-1,049,005",151.5,136,128,-8,5
22881,Charles R Darwin School,"4,771,884","4,886,365","4,480,340","-406,026",55,47,48,1,5
23721,Charles R Henderson School,"3,023,392","2,591,729","2,541,842","-49,888",32,30,26,-4,5
22361,Charles S Brownell School,"2,369,634","2,194,890","2,137,199","-57,691",27,25,24,-1,5
22931,Charles S Deneen School,"4,726,854","4,507,065","4,681,509","174,444",62,55,57,2,5
31221,Charles Sumner Mathematics & Science Community Academy,"3,227,305","2,957,027","2,527,072","-429,955",30,30,27.5,-2.5,5
23031,Charles W Earle School,"4,863,241","4,503,813","4,513,848","10,035",48,46,47.5,1.5,5
69593,Cheder Lubavitch,"87,986","51,341",0,"-51,341",0,0,0,0,5
69099,Cheder Lubavitch Hebrew School,"70,066","62,030",0,"-62,030",0,0,0,0,5
45211,Chicago Academy Elementary School,"4,974,126","5,171,006","4,609,529","-561,477",55,53.5,53.5,0,5
46481,Chicago Academy High School,"5,283,555","5,315,770","5,182,604","-133,166",52,49.5,50.5,1,5
66671,Chicago Collegiate,"2,599,200","3,339,003","3,508,253","169,250",1,2,2,0,5
63141,Chicago Excel/Camelot,"3,034,765","3,002,939","2,752,922","-250,017",3,3,3,0,5
47091,Chicago High School For Agricultural Sciences,"7,965,870","9,198,786","7,902,998","-1,295,788",76.4,73.4,77.4,4,5
63051,Chicago High School for the Arts,"6,120,666","5,879,136","5,999,475","120,339",7,7,6,-1,5
69012,Chicago Hope Academy,"33,057","15,725",0,"-15,725",0,0,0,0,5
66077,Chicago International Charter School (CICS) Larry Hawkins Campus,"2,255,865","4,984",0,"-4,984",0,0,0,0,5
66371,Chicago International Charter School (CICS)- Avalon/South Shore Campus,"4,485,818","5,162,048","5,997,223","835,175",0,0,0,0,5
66231,Chicago International Charter School (CICS)- Basil Campus,"7,439,109","7,457,463","8,802,049","1,344,586",0,0,0,0,5
66071,Chicago International Charter School (CICS)- Bucktown Campus,"7,303,981","7,264,134","8,082,346","818,211",0,0,0,0,5
66061,Chicago International Charter School (CICS)- Longwood Campus,"14,843,701","15,198,807","16,107,181","908,374",0,0,0,0,5
66241,Chicago International Charter School (CICS)- Northtown Campus,"10,139,401","10,485,961","10,915,985","430,025",0,0,0,0,5
66161,Chicago International Charter School (CICS)- Prairie Campus,"4,305,491","4,314,499","4,994,568","680,068",0,0,0,0,5
66072,Chicago International Charter School (CICS)- Ralph Ellison Campus,"5,275,048","5,291,444","5,189,003","-102,441",0,0,0,0,5
66181,Chicago International Charter School (CICS)- Washington Park Campus,"4,661,585","4,733,459","5,677,304","943,845",0,0,0,0,5
66221,Chicago International Charter School (CICS)- West Belden Campus,"5,559,435","5,726,648","6,289,354","562,706",0,0,0,0,5
66381,Chicago International Charter School (CICS)- Wrightwood Campus,"7,383,546","7,883,855","9,052,037","1,168,182",0,0,0,0,5
66651,Chicago International Charter School - ChicagoQuest North,"2,941,728","3,312,466","2,926,393","-386,073",0,0,0,0,5
66075,Chicago International Charter School - Friesse Campus,"5,992,083","5,606,823","6,341,892","735,069",0,0,0,0,5
66074,Chicago International Charter School - Irving Park,"5,271,121","5,386,695","6,061,297","674,602",0,0,0,0,5
66076,Chicago International Charter School - Lloyd Bond Campus,"3,713,977","3,563,706","3,958,465","394,759",0,0,0,0,5
69036,Chicago Jewish Day School,"22,085","12,540",0,"-12,540",0,0,0,0,5
66281,Chicago Math and Science Academy (CMSA) Charter School,"7,052,412","6,831,023","7,300,963","469,940",2,2,2,0,5
70070,Chicago Military Academy - Bronzeville,"4,056,063","3,626,039","3,625,186",-853,42,39,39,0,5
69450,Chicago SDA Academy,"139,513","58,788",0,"-58,788",0,0,0,0,5
63111,Chicago Talent Development High School,"3,230","3,135",0,"-3,135",0,0,0,0,5
63091,Chicago Technology Academy High School,"4,071,639","3,339,878","2,968,746","-371,132",2,2,2,0,5
66481,Chicago Virtual Charter School,"7,442,141","7,492,322","8,266,227","773,905",0,0,0,0,5
53011,Chicago Vocational Career Academy,"12,071,152","11,034,938","10,122,425","-912,513",122,115,110,-5,5
69238,Chicago Westside Christian,"167,591","113,708",0,"-113,708",0,0,0,0,5
14010,Chief Administrative Office,"356,643","247,669","246,591","-1,078",2,1,1,0,5
10816,Chief Education Office,"1,128,232","1,265,192","1,224,063","-41,128",0,9,6,-3,5
12310,Chief Financial Officer,"428,210",0,0,0,2,0,0,0,5
10810,Chief Teaching & Learning Officer,"2,091,048","3,282,223","3,192,422","-89,801",16,8,7,-1,5
12420,Children and Family Benefits Unit,"451,902",0,0,0,12,0,0,0,5
69135,Children of Peace,"116,848","37,742",0,"-37,742",0,0,0,0,5
69462,Christ The King Lutheran,0,"36,620",0,"-36,620",0,0,0,0,5
69073,Christ The King School,"61,272","86,211",0,"-86,211",0,0,0,0,5
69027,Christ the King Jesuit (Catholic),"632,191","325,001",0,"-325,001",0,0,0,0,5
69237,Christian Affiliate Schools,"186,267","499,451",0,"-499,451",0,0,0,0,5
23051,Christian Ebinger,"5,668,208","5,944,629","5,669,556","-275,074",54.5,55,55.5,0.5,5
46111,Christian Fenger Academy,"4,085,612","3,762,467","3,062,264","-700,203",43,36,34,-2,5
69171,Christian STEM Scholars Academy,0,"24,710",0,"-24,710",0,0,0,0,5
69170,Christo Rey High School,"41,412","32,753",0,"-32,753",0,0,0,0,5
22791,Christopher Columbus School,"2,489,320","2,617,005","2,594,073","-22,932",23.5,23,25,2,5
66661,Christopher House Charter School,"2,621,545","3,141,738","3,726,641","584,903",0,0,0,0,5
22151,Clara W Barton School,"4,450,774","4,610,514","4,172,360","-438,154",45.5,47,46.5,-0.5,5
31301,Claremont Academy,"5,367,941","5,207,059","5,035,984","-171,075",57,53.5,57.5,4,5
10870,College and Career Success Office,"594,181","307,253","455,368","148,115",4,3,3,0,5
49131,Collins Academy High School,"4,481,948","4,107,474","3,321,262","-786,212",54,49,42.5,-6.5,5
44021,Collins Multiplex,"65,080","71,786",0,"-71,786",0,0,0,0,5
11955,Colman,0,"18,506",0,"-18,506",0,0,0,0,5
20071,Columbia Explorers Academy,"8,536,350","8,410,085","8,328,553","-81,533",99.5,94,96,2,5
10510,Communications Office,"1,648,527","1,612,214","1,826,541","214,326",17,16,14,-2,5
63061,Community Services West High School,"1,151,138",0,0,0,0,0,0,0,5
11405,Computer Science,0,0,"2,034,009","2,034,009",0,0,15,15,5
12690,Consolidated Pointer Line Unit,"-51,556,161","-38,230,634",0,"38,230,634",0,0,0,0,5
49041,Consuella B. York Alternative HS,"6,852,918","7,334,964","7,617,075","282,111",57,56,55,-1,5
12691,Control Accounts/Compensation - City Wide,"24,965,687","11,815,954",0,"-11,815,954",0,0,0,0,5
69371,Cornerstone Academy,"31,749","8,006",0,"-8,006",0,0,0,0,5
69538,Council Oak Montessori,0,"5,610",0,"-5,610",0,0,0,0,5
10850,Counseling and Postsecondary Advising,"2,443,897","2,526,011","2,539,437","13,426",15,13,13,0,5
10855,Counseling and Postsecondary Advising - City Wide,"2,322,640","1,951,901","2,322,185","370,284",33,31,29,-2,5
23891,Countee Cullen School,"2,138,123","1,884,984","1,734,448","-150,536",23,19,16,-3,5
30141,Courtenay Language Arts Center,"7,449,507","6,752,109","5,832,325","-919,784",91.5,78.5,70,-8.5,5
31021,Crispus Attucks School,"18,193","2,963",0,"-2,963",0,0,0,0,5
31041,Crown Community Academy Fine Arts Center,"3,403,813","3,200,734","2,964,848","-235,887",32,32,32,0,5
24431,Cyrus H Mccormick School,"6,606,711","6,396,244","6,236,707","-159,537",67.5,66,65.5,-0.5,5
22271,Daniel Boone School,"7,621,697","7,515,501","7,193,868","-321,632",74,75,77,2,5
30051,Daniel Carter Beard School,"4,125,920","4,370,429","4,364,630","-5,799",51,59,59,0,5
55161,Daniel Hale Williams Prep School of Medicine,"3,361,503","3,324,333","2,891,500","-432,834",37,36,31,-5,5
22851,Daniel J Corkery School,"5,058,098","5,134,855","5,100,219","-34,636",55.5,56,58.5,2.5,5
22531,Daniel R Cameron Elementary School,"7,215,758","6,934,258","6,709,112","-225,146",79,75,73,-2,5
