Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
69039,Lubavitch Girls High School,"40,443","23,960",0,"-23,960",0,0,0,0,5
25931,Ludwig Von Beethoven School,"4,530,630","4,364,119","4,016,699","-347,420",49,48,44,-4,5
24801,Luke O'Toole School,"4,073,033","3,846,065","3,715,504","-130,561",46,41,37.5,-3.5,5
22401,Luther Burbank School,"8,221,595","8,108,395","7,884,826","-223,569",83,84,80,-4,5
69382,Luther High School North,"73,244","20,447",0,"-20,447",0,0,0,0,5
69336,Lutheran Education Foundation,"229,531","495,252",0,"-495,252",0,0,0,0,5
69086,Lydia Home Association,"54,610","115,770","4,366","-111,404",0,0,0,0,5
69532,Lydia Urban Prep,"83,922","8,780",0,"-8,780",0,0,0,0,5
22391,Lyman A Budlong School,"6,903,596","6,689,140","6,292,137","-397,002",74,73,70,-3,5
25651,Lyman Trumbull School,"2,124","3,000",0,"-3,000",0,0,0,0,5
65021,Magic Johnson Brainerd,"1,574,379","1,452,187","1,495,654","43,467",0,0,0,0,5
65012,Magic Johnson Bridgescape Academy Roseland,"2,291,441","1,854,776","2,450,910","596,134",0,0,0,0,5
65022,Magic Johnson Englewood,"1,474,557","3,539,659","1,013,146","-2,526,513",0,0,0,0,5
65020,Magic Johnson Humboldt Park,"2,299,008","1,812,788","2,146,550","333,762",0,0,0,0,5
65011,Magic Johson Bridgescape Academy North Lawndale,"2,338,161","1,912,788","2,147,258","234,470",0,0,0,0,5
10845,Magnet-Gifted and IB Programs,"3,827,439","3,665,616","4,834,758","1,169,142",8,6,6,0,5
26651,Mahalia Jackson School,"4,268,065","3,798,786","3,711,959","-86,827",49,43,41,-2,5
25581,Mancel Talcott School,"5,107,676","5,167,215","5,294,578","127,362",53.5,55,59.5,4.5,5
53111,Manley Career Community Academy High School,"3,576,538","3,128,787","2,398,645","-730,141",43.5,31.5,28,-3.5,5
22861,Manuel Perez Jr Elementary School,"3,676,839","3,514,543","3,345,493","-169,049",37.5,36,33,-3,5
24951,Marcus Moziah Garvey School,"2,841,514","2,514,710","2,468,845","-45,865",31,28,25,-3,5
29151,Maria Saucedo Scholastic Academy,"9,636,853","8,779,711","8,781,380","1,670",108.5,106.5,95,-11.5,5
22921,Mariano Azuela Elementary School,"7,100,657","7,364,149","7,335,090","-29,058",81,79.5,78,-1.5,5
53101,Marie Sklodowska Curie Metropolitan High School,"27,578,049","27,934,553","26,573,165","-1,361,388",282.4,279.7,273.5,-6.2,5
41111,Marine Leadership Academy at Ames,"8,146,437","8,528,093","8,443,520","-84,572",79,83,85,2,5
49151,Marine Military Academy,"209,595","2,895",0,"-2,895",0,0,0,0,5
69386,Marist High School,"18,501","7,460",0,"-7,460",0,0,0,0,5
29201,Mark Sheridan Math & Science Academy,"4,704,731","5,060,800","4,696,223","-364,576",47,45,46,1,5
29281,Mark Skinner School,"7,981,089","8,013,070","7,542,895","-470,175",82,83,83,0,5
25661,Mark Twain School,"9,106,922","8,888,666","8,578,418","-310,248",91,87.5,86.5,-1,5
24341,Marquette Elementary,"9,973,507","9,487,184","9,228,006","-259,178",129,124,116,-8,5
25181,Martha M Ruggles Elementary School,"3,913,508","3,853,433","3,664,663","-188,770",40,38,38,0,5
22691,Marvin Camras Elementary School,"8,293,667","7,973,120","7,847,255","-125,865",85.5,84,83,-1,5
26421,Mary E Mcdowell Elementary School,"2,094,982","2,020,744","1,871,776","-148,968",22,20,22,2,5
24941,Mary G Peterson School,"7,118,395","7,023,262","7,070,283","47,021",78,80,79,-1,5
24281,Mary Lyon School,"11,309,600","11,466,615","11,485,949","19,334",110,113,111.5,-1.5,5
26611,Mary McLeod Bethune Elementary School of Excellence,"2,479",0,0,0,0,0,0,0,5
28021,Mason Multiplex,"38,309",0,0,0,0,0,0,0,5
69024,Master's Academy,"10,348",0,0,0,0,0,0,0,5
69197,Maternity Bvm School,"238,270","113,156",0,"-113,156",0,0,0,0,5
13717,Mathematics,"1,097,387","965,225",0,"-965,225",7,4,0,-4,5
29091,Matthew Gallistel Language Academy,"10,409,928","8,389,425","7,958,110","-431,316",112,91,80,-11,5
26591,Medgar Evers School,"3,461,155","3,204,976","3,156,748","-48,228",36,35,31,-4,5
44061,Medill Multiplex,"13,392",0,0,0,0,0,0,0,5
23271,Melville W Fuller,"3,289,392","3,228,836","3,092,763","-136,073",40,38,38,0,5
69063,Mercy Home for Boys,"141,515","150,393","22,408","-127,985",0,0,0,0,5
69013,Mercy Home for Girls,"12,941","11,298",0,"-11,298",0,0,0,0,5
69087,Methodist Youth Services,"133,882","195,750","29,159","-166,591",0,0,0,0,5
24371,Michael Faraday Elementary School,"3,345,387","3,295,401","2,947,367","-348,034",39,34.5,31,-3.5,5
22501,Michael M Byrne School,"5,396,499","5,569,892","5,573,634","3,742",57.5,57.5,58.5,1,5
41051,Michelle Clark Academic Prep Magnet High School,"6,051,619","6,236,699","5,803,312","-433,388",60,59,69,10,5
69438,Midwestern Christian Academy,"6,020",0,0,0,0,0,0,0,5
22491,Milton Brunson Specialty Elementary School,"5,180,704","4,981,336","4,761,598","-219,738",57.5,55.5,51,-4.5,5
23931,Minnie Mars Jamieson School,"7,409,801","7,739,125","7,435,102","-304,023",75,76,76,0,5
46251,Morgan Park High School,"13,723,933","13,500,215","13,064,937","-435,278",132.5,125.5,125.5,0,5
26091,Morton School of Excellence,"3,417,415","3,748,327","3,447,343","-300,983",45,46,42.5,-3.5,5
30041,Moses Montefiore Special School,"269,136","1,053",0,"-1,053",16,0,0,0,5
24591,Mount Greenwood Elementary School,"6,827,883","7,163,018","7,084,139","-78,879",71,72,78,6,5
24601,Mount Vernon Elementary School,"2,789,148","2,787,969","2,555,181","-232,788",31,28,28,0,5
66911,Moving Everest Charter School,"1,977,036","2,931,830","4,063,173","1,131,343",0,2,2,0,5
69550,Muhammad Univ,"61,373","84,228",0,"-84,228",0,0,0,0,5
55181,Multicultural Arts High School (at Little Village),"2,904,173","2,986,394","2,674,878","-311,516",32,30.5,27.5,-3,5
22291,Myra Bradwell Communication Arts & Sciences Academy,"6,112,349","5,560,766","5,133,324","-427,443",69,69,58,-11,5
66271,Namaste Charter School,"5,264,827","5,138,617","5,866,140","727,522",0,0,0,0,5
30011,Nancy B Jefferson Alternative School,"7,863,924","7,695,434","7,662,746","-32,688",64.4,59.9,58.4,-1.5,5
23491,Nathan Hale School,"7,645,929","8,117,401","7,420,874","-696,527",74,75,75,0,5
26561,Nathan R Goldblatt School,525,250,0,-250,0,0,0,0,5
22891,Nathan S Davis School & Annex,"7,086,832","7,041,190","7,210,247","169,057",76,72,75,3,5
23431,Nathanael Greene School,"5,414,125","5,232,191","4,668,341","-563,850",57,55,47.5,-7.5,5
32031,National Teachers' Academy (NTA),"5,616,839","5,957,680","6,333,795","376,116",61.5,61.7,64.7,3,5
53061,Neal F Simeon Vocational High School,"12,133,912","12,474,172","11,853,868","-620,304",130,126,131,5,5
30061,Near North Elementary School,"3,367",0,0,0,0,0,0,0,5
69458,Near North Montessori A,"36,540","68,433",0,"-68,433",0,0,0,0,5
2411,Network 1,"1,261,485","1,171,600","1,079,043","-92,557",8,8,8,0,4
2501,Network 10,"992,740","1,058,078","863,174","-194,904",6,5,6,1,4
2511,Network 11,"1,841,075","1,708,764","1,494,536","-214,228",11,11,10,-1,4
2521,Network 12,"1,319,330","1,133,140","1,058,376","-74,764",8,7,7,0,4
2531,Network 13,"1,559,024","1,623,606","1,366,229","-257,377",9,9,9,0,4
2421,Network 2,"1,234,269","1,285,966","1,047,590","-238,376",7,7,7,0,4
2431,Network 3,"1,527,123","1,497,499","1,748,988","251,489",10,11,13,2,4
2441,Network 4,"1,171,198","1,033,911","1,036,757","2,846",7,7,7,0,4
2451,Network 5,"1,508,989","1,337,351","1,089,871","-247,480",9,8,8,0,4
2461,Network 6,"1,391,801","1,231,244","1,173,653","-57,591",8,8,8,0,4
2471,Network 7,"1,385,718","1,110,902","1,019,828","-91,074",8,8,7,-1,4
2481,Network 8,"1,487,609","1,316,553","1,228,589","-87,963",9,9,9,0,4
2491,Network 9,"1,695,851","1,472,839","926,390","-546,448",9,9,7,-2,4
11110,Network Support,"9,872,337","2,408,727","2,934,027","525,300",83,11,19,8,5
22071,New Field School,"5,344,190","6,161,960","5,846,391","-315,569",58,61,65,4,5
69316,New Hope Lutheran,"48,646",0,0,0,0,0,0,0,5
69533,New Life Christian Academy,"13,948",0,0,0,0,0,0,0,5
13615,New School Development - City Wide,"499,443","768,731","1,000,000","231,269",0,0,0,0,5
66137,New UNO HS at 51st & St. Louis,"7,926,977","7,460,769","7,565,300","104,531",0,0,0,0,5
22171,Newton Bateman Elementary School,"8,298,959","8,413,249","8,342,447","-70,802",79,81,87,6,5
31101,Ninos Heroes Academic Center,"3,945,699","3,616,628","3,503,428","-113,200",39,36,36,0,5
66579,Noble - Mansueto High School,0,"2,108,651","4,588,065","2,479,414",0,0,0,0,5
66572,Noble Street Charter High School - Chicago Bulls College Prep Campus,"12,107,139","12,073,250","12,826,906","753,656",0,0,0,0,5
66146,Noble Street Charter High School - Comer Campus,"12,370,627","12,881,363","13,730,769","849,407",0,0,0,0,5
66148,Noble Street Charter High School - Englewood Campus,"9,692,417","9,709,364","10,247,599","538,235",0,0,0,0,5
66145,Noble Street Charter High School - Golder Campus,"7,739,898","7,487,275","8,027,159","539,884",0,0,0,0,5
66573,Noble Street Charter High School - Muchin College Prep Campus,"10,259,308","10,525,254","11,572,081","1,046,828",0,0,0,0,5
66142,Noble Street Charter High School - Pritzker College Prep Campus,"10,996,975","11,398,235","11,682,572","284,337",0,0,0,0,5
66143,Noble Street Charter High School - Rauner College Prep Campus,"7,282,362","7,320,139","8,018,419","698,280",0,0,0,0,5
66144,Noble Street Charter High School - Rowe Clark Campus,"6,946,248","6,923,536","6,850,627","-72,909",0,0,0,0,5
66147,Noble Street Charter High School - UIC Campus,"9,714,679","9,698,441","10,133,846","435,405",0,0,0,0,5
66141,Noble Street Charter School,"7,506,596","7,371,301","7,706,815","335,514",0,0,0,0,5
66578,Noble Street Charter School - The Noble Academy,"2,929,715","3,802,431","4,759,348","956,918",0,0,0,0,5
66149,Noble Street Charter School -ITW David Speer Academy,"7,995,407","9,560,086","11,348,487","1,788,401",0,0,0,0,5
66577,Noble Street Charter School- Baker College Prep (Orange),"4,521,434","4,538,200","4,287,040","-251,160",0,0,0,0,5
66576,Noble Street Charter School- Butler College Prep (Crimson),"4,891,359","6,921,766","7,365,918","444,153",0,0,0,0,5
66575,Noble Street Charter School- DRW College Prep (Purple),"7,139,807","6,491,521","6,886,654","395,133",0,0,0,0,5
66574,Noble Street Charter School-Hansberry College Prep (Silver),"9,070,101","8,310,713","8,698,789","388,076",0,0,0,0,5
22321,Norman Bridge School,"8,009,766","8,086,681","7,921,299","-165,382",78.5,82,80,-2,5
46431,North Grand High School,"9,494,674","9,469,949","9,506,313","36,364",92,94,104,10,5
66091,North Lawndale College Prep - Christiana,"4,510,176","4,344,197","4,345,601","1,405",0,2,2,0,5
66092,North Lawndale College Prep - Collins,"4,523,635","4,760,480","4,351,212","-409,267",0,0,0,0,5
69509,North Park Elementary School,"7,940","6,995",0,"-6,995",0,0,0,0,5
26841,North River Elementary School,"3,125,754","3,110,580","3,116,899","6,319",39,35.5,36.5,1,5
69327,North Shore SDA Junior Academy,"69,116","34,371",0,"-34,371",0,0,0,0,5
69115,Northside Cath Academy,"12,668",0,0,0,0,0,0,0,5
69145,Northside Cath Academy,"100,408","108,849",0,"-108,849",0,0,0,0,5
46061,Northside College Prep,"9,611,872","9,894,098","9,085,867","-808,231",88.5,91.5,93.5,2,5
49021,Northside Learning Center,"6,764,686","6,534,072","6,794,188","260,116",80,84,85,1,5
69315,Northwest Institute,"25,700","12,509",0,"-12,509",0,0,0,0,5
41121,Northwest Middle,"4,991,347","4,450,235","4,152,225","-298,011",49.5,49,46,-3,5
24711,Norwood Park Elementary School,"3,317,386","3,586,083","3,392,264","-193,819",34.5,37.5,36.5,-1,5
69393,Notre Dame High School,"61,891","3,011",0,"-3,011",0,0,0,0,5
12010,Nutrition Support Services,"2,391,028","2,220,447","2,267,350","46,902",28,27,26,-1,5
12050,Nutrition Support Services - City Wide,"143,645,209","131,779,927","126,229,301","-5,550,626",230,236,295,59,5
11671,ODLSS Instructional Supports: Access & Opportunities,"9,506,576","19,652",0,"-19,652",38.5,0,0,0,5
11672,ODLSS Instructional Supports: Diverse-Learner Supp,"9,357,327","11,443,827","10,364,234","-1,079,593",81,77,79,2,5
11674,ODLSS Instructional Supports: Network Supports,"67,306,850","71,228,711","70,710,689","-518,022",44,60,59,-1,5
11673,ODLSS Instructional Supports: Specially-Designed Instruction,"10,349,171","10,266,569","9,510,299","-756,270",71,72.5,72.5,0,5
69556,Oakdale Christian Academy,"301,617","153,361",0,"-153,361",0,0,0,0,5
69510,Office of Catholic Schools,"7,724,148","12,686,784",0,"-12,686,784",0,0,0,0,5
5281,Office of Education Options,"2,582,821","-132,982",0,"132,982",18,6,0,-6,4
10430,Office of Internal Audit and Compliance,"3,957,663","6,718,851","4,350,489","-2,368,362",8,18,16,-2,5
15500,Office of Planning and Data Management,"985,774","1,294,701","814,017","-480,684",6,9,6,-3,5
10811,Office of School Quality Measurement and Research,0,"2,221,018","2,145,354","-75,664",0,14,14,0,5
14050,Office of Student Health & Wellness,"6,231,407","7,239,302","6,365,426","-873,876",65,67,66,-1,5
69198,Old St. Mary School,0,"7,278",0,"-7,278",0,0,0,0,5
29301,Ole A Thorp Scholastic Academy,"6,917,312","7,182,486","7,058,199","-124,288",67,69.5,73.5,4,5
26381,Oliver S Westcott Elementary School,"3,864,249","3,993,085","3,898,815","-94,270",37.5,39,42,3,5
23831,Oliver Wendell Holmes School,"3,846,013","3,438,081","2,564,116","-873,965",29,30,28,-2,5
65014,Ombudsman Chicago - South,"6,007,878","4,517,135","4,535,577","18,442",0,0,0,0,5
65024,Ombudsman Chicago North,"877,164",0,0,0,0,0,0,0,5
65013,Ombudsman Chicago Northwest,"2,947,966","2,826,998","2,758,225","-68,773",0,0,0,0,5
65015,Ombudsman Chicago West,"5,894,268","4,006,531","4,193,416","186,886",0,0,0,0,5
24771,Oriole Park School,"5,087,248","5,326,310","5,234,700","-91,610",54.5,55.5,58,2.5,5
31281,Orozco Academy,"5,850,058","5,659,089","5,571,092","-87,997",52.5,60,59.5,-0.5,5
28151,Orr Academy,"4,814,791","4,691,398","4,033,619","-657,778",52.9,46,43,-3,5
22331,Orville T Bright Elementary School,"3,686,161","3,689,418","3,626,883","-62,535",43,39,41.5,2.5,5
26631,Oscar Depriest School,"6,889,305","6,428,153","5,987,864","-440,289",78,72,61,-11,5
24401,Oscar F Mayer Elementary School,"6,325,102","6,914,115","6,413,676","-500,439",71.5,73,75.5,2.5,5
12694,Other Government Funded,"947,522","2,100,081",0,"-2,100,081",0,0,0,0,5
69219,Our Lady Of Grace School,"156,441","84,755",0,"-84,755",0,0,0,0,5
69220,Our Lady Of Guadalupe School,"188,072","99,157",0,"-99,157",0,0,0,0,5
69069,Our Lady Of Tepeyac,"249,210","134,735",0,"-134,735",0,0,0,0,5
69230,Our Lady Of The Snows School,"140,229","92,661",0,"-92,661",0,0,0,0,5
69233,Our Lady Of Victory School,"82,468","2,794",0,"-2,794",0,0,0,0,5
69084,Our Lady of Charity,"7,907",479,0,-479,0,0,0,0,5
69405,Our Lady of Tepeyac High School,"68,374","65,488",0,"-65,488",0,0,0,0,5
69501,P L A I D Academy,"179,985","57,559",0,"-57,559",0,0,0,0,5
24011,Pablo Casals,"3,847,043","3,755,112","3,685,650","-69,461",49,47,44,-3,5
24841,Park Manor Elementary School,"3,656,218","3,281,789","3,068,718","-213,071",32,36,31,-5,5
28031,Parker Multiplex,"25,171",0,0,0,0,0,0,0,5
31201,Parkside Community Academy School,"3,031,926","2,799,328","2,712,753","-86,576",37,32,32,0,5
69534,Pass It On Academy,"55,781","52,084",0,"-52,084",0,0,0,0,5
66191,Passages Charter School,"4,306,301","4,598,168","5,142,198","544,030",0,0,0,0,5
65018,Pathways in Education,"2,622,611","2,356,794","1,939,523","-417,270",0,0,0,0,5
65016,Pathways in Education Avondale,"2,876,773","2,626,404","2,083,016","-543,389",0,0,0,0,5
66801,Pathways in Education Brighton Park,"3,767,866","3,208,975","3,128,813","-80,162",0,0,0,0,5
23731,Patrick Henry School,"5,263,205","4,827,092","4,285,169","-541,923",55.5,50,43.5,-6.5,5
23881,Paul Cuffe Elementary School,"4,100,691","3,703,509","3,251,807","-451,702",40,38,33,-5,5
25121,Paul Revere Accelerated School,"2,672,858","2,550,347","2,280,743","-269,603",31,27,26,-1,5
46121,Paul Robeson High School,"3,453,371","2,878,478","2,309,336","-569,142",38,30.5,26.5,-4,5
12450,Payroll Services,"2,555,371","2,112,693","2,156,548","43,855",31,23,23,0,5
67021,Peace and Education Coalition High School,"3,063,093","2,955,517","2,983,105","27,588",37.5,35,34,-1,5
28191,Penn Multiplex,"5,515",0,0,0,0,0,0,0,5
12470,Pension & Liability Insurance - City Wide,"552,239,634","616,009,108","651,744,029","19,734,921",0,0,0,0,5
46401,Percy L Julian High School,"8,765,037","8,576,847","6,408,879","-2,167,968",86,80,67,-13,5
22161,Perkins Bass School,"4,548,834","4,461,982","4,124,636","-337,346",50,46,45,-1,5
11952,Pershing East,0,"3,155",0,"-3,155",0,0,0,0,5
66056,Perspectives - Math and Science Academy,"6,321,858","5,403,004","5,381,554","-21,450",0,0,0,0,5
66052,Perspectives Charter School - Calumet Campus,"6,545,168","5,607,010","5,462,702","-144,308",0,0,0,0,5
66051,Perspectives Charter School - Rodney D. Joslin Campus,"4,763,377","4,720,744","4,975,543","254,799",0,0,0,0,5
66053,Perspectives Charter School- Calumet High School of Technology,"4,961,350","4,410,339","4,224,208","-186,131",0,0,0,0,5
25111,Peter A Reinberg,"8,153,029","8,122,777","7,774,704","-348,072",85,82,83,1,5
22831,Peter Cooper Dual Language Academy,"5,539,067","5,094,605","4,816,671","-277,934",59.5,58.5,53,-5.5,5
69329,Philadephia School of the Arts,"22,897",0,0,0,0,0,0,0,5
22061,Philip D Armour School,"3,170,979","3,042,526","2,736,981","-305,545",37.5,35,34,-1,5
29221,Philip Murray Language Academy,"4,627,799","4,567,452","4,587,883","20,431",44,43,42.5,-0.5,5
25141,Philip Rogers School,"6,722,395","6,664,268","6,613,161","-51,107",69,69,69.5,0.5,5
23671,Phoebe Apperson Hearst School,"4,176,306","4,684,309","4,569,896","-114,412",45,50,56,6,5
55011,Phoenix Military Academy,"7,530,819","6,194,710","5,611,742","-582,968",53,53.4,52.2,-1.2,5
31141,Pilsen Community Academy,"4,401,284","4,330,116","3,452,679","-877,437",50.5,48,42,-6,5
63021,Plato Learning Academy,"5,048,690","4,500,741","4,454,491","-46,250",0,0,0,0,5
67081,Polaris Charter Academy,"4,342,578","4,312,361","4,755,527","443,166",0,0,0,0,5
69101,Pope John Paul II/Five Holy Martyrs,"358,834","285,609",0,"-285,609",0,0,0,0,5
25011,Portage Park Elementary School,"7,951,816","7,865,939","7,316,037","-549,902",81,79,78,-1,5
69324,Prigrim Lutheran SchoolA,"23,301","13,965",0,"-13,965",0,0,0,0,5
26851,Princeton AC,"6,699","5,857",0,"-5,857",0,0,0,0,5
2541,Principal Quality,0,"7,290,136","7,460,738","170,602",0,47,48,1,4
12210,Procurement and Contracts Office,"2,253,419","2,605,777","2,218,396","-387,381",21,12,19,7,5
65017,Prologue - Winnie Mandela High School,"1,225,411",0,0,0,1,0,0,0,5
66491,Prologue Early College High School,"2,128,050","1,000",0,"-1,000",0,0,0,0,5
66581,Prologue-Joshua Johnston Charter School,"2,394,758","2,261,214",0,"-2,261,214",0,0,0,0,5
69395,Providence - St. Mel School High Schol,"1,900","2,400",0,"-2,400",0,0,0,0,5
66471,Providence Englewood Charter School - Bunche Campus,"4,666,107","4,532,167","5,172,655","640,488",0,0,0,0,5
69504,Pui Tak Christian School,"89,407","45,483",0,"-45,483",0,0,0,0,5
69254,Queen Of Angels School,"118,177","63,570",0,"-63,570",0,0,0,0,5
69256,Queen Of The Universe School,"202,498","128,619",0,"-128,619",0,0,0,0,5
26031,R Nathaniel Dett,"4,370,664","4,219,263","3,899,361","-319,903",51,48,43,-5,5
22601,Rachel Carson Elementary School,"8,995,872","8,843,249","8,214,445","-628,804",101,97.5,99,1.5,5
31061,Ralph H Metcalfe Community Academy Elementary School,"4,233,257","3,793,040","3,419,283","-373,757",43,38,31,-7,5
25061,Ravenswood School,"4,643,930","4,898,201","4,756,969","-141,232",49.5,50.5,50,-0.5,5
49101,Ray Graham Training Center,"4,315,305","4,119,980","4,247,258","127,279",50,50,50,0,5
11910,Real Estate,"17,771,658","16,278,113","17,002,547","724,435",7,5,5,0,5
23081,Richard Edwards School,"12,687,467","12,710,952","12,771,276","60,324",128.5,132.5,138,5.5,5
26331,Richard Henry Lee School,"7,401,710","7,505,096","7,047,866","-457,230",72,72,70.5,-1.5,5
25951,Richard J Daley Academy,"5,329,531","5,256,365","5,009,520","-246,845",55.5,51,51,0,5
24741,Richard J Oglesby School,"4,929,038","4,569,219","4,659,698","90,478",47.5,52,51,-1,5
46081,Richard T Crane Tech Prep Comm On School,"23,078","6,679",0,"-6,679",0,0,0,0,5
46641,Richard T. Crane (RTC) Medical Preparatory High School,"4,783,883","5,499,030","4,822,483","-676,547",50.2,57,53.5,-3.5,5
25911,Richard Yates Elementary School,"6,226,922","6,235,183","5,608,564","-626,619",73,65.5,64,-1.5,5
12460,Risk Management,"8,134,128","8,887,223","7,000,120","-1,887,103",5,1,1,0,5
46031,Roald Amundsen High School,"10,948,249","11,637,203","11,153,645","-483,558",109,110,111,1,5
29381,Robert A Black Magnet School,"4,396,114","4,144,690","3,848,786","-295,904",42,40.5,39,-1.5,5
23121,Robert Emmet School,"1,175",250,0,-250,0,0,0,0,5
23281,Robert Fulton School,"4,161,677","3,881,746","3,641,993","-239,754",47,42,39,-3,5
23651,Robert Healy School,"10,715,518","10,924,579","10,522,851","-401,728",102.5,106,103,-3,5
23381,Robert J. Richardson Middle School,0,"4,966,679","9,628,523","4,661,844",0,0,89,89,5
23461,Robert L Grimes School,"3,943,700","3,969,372","3,717,588","-251,784",45.5,44.5,42.5,-2,5
51091,Roberto Clemente Community Academy High School,"9,110,657","8,307,520","8,093,312","-214,208",100,92,93,1,5
50111,Robeson Academic Transition HS,"2,119",0,0,0,0,0,0,0,5
68050,Rockne Stadium,0,"6,450",0,"-6,450",0,0,0,0,5
24101,Rodolfo Lozano Bilingual & International Center,"3,280,283","3,101,075","3,068,491","-32,584",37.5,36,37,1,5
46301,Roger C Sullivan High School,"6,941,107","7,401,090","8,168,690","767,600",67,75,85.5,10.5,5
69248,Rogers Park Montessori School,"14,200","44,655",0,"-44,655",0,0,0,0,5
26301,Ronald E McNair Elementary School,"4,434,645","4,748,638","4,806,403","57,765",51.5,56.5,61,4.5,5
24631,Ronald H Brown Community Academy,"3,247,646","3,409,588","3,607,296","197,708",30.5,30.5,34.5,4,5
24381,Roswell B Mason Elementary School,"4,392,476","4,113,029","3,809,919","-303,109",43.5,41,39,-2,5
66571,Rowe Elementary School,"8,251,699","9,101,877","10,813,908","1,712,031",4,6,6,0,5
30101,Ruben Salazar Bilingual Education Center School,"3,507,113","3,591,576","3,294,245","-297,330",36,35,34,-1,5
66921,Rudy Lozano Leadership Academy - Mastery Campus (RLLAM),"648,307","466,524","441,597","-24,927",0,0,0,0,5
24081,Rudyard Kipling School,"3,596,243","3,193,306","2,858,482","-334,824",37,34,31,-3,5
23811,Rufus M Hitch School,"4,530,986","4,835,544","4,479,044","-356,500",44.5,46.5,45.5,-1,5
22711,STEM Magnet Academy,"3,407,670","3,750,801","3,788,313","37,512",38,41,40.5,-0.5,5
69270,Sacred Heart School,"149,090","61,357",0,"-61,357",0,0,0,0,5
66011,Safe Schools Alternative,"2,102,140","2,720,698","2,088,496","-632,203",0,0,0,0,5
10615,Safety and Security - City Wide,"26,047,788","25,984,127","28,361,216","2,377,088",151,151,149,-2,5
69545,Salem Alternative Christian Ac Ademy,"5,000",0,0,0,0,0,0,0,5
69389,Salem Christian School,"101,267","43,660",0,"-43,660",0,0,0,0,5
22701,Salmon P Chase School,"5,170,843","5,287,304","5,162,845","-124,459",55,57,60.5,3.5,5
69142,San Miguel School,"129,158","57,681",0,"-57,681",0,0,0,0,5
69207,Sanders Academy,"33,780","18,577",0,"-18,577",0,0,0,0,5
26721,Sandoval Elementary School,"8,680,490","8,303,140","7,975,017","-328,123",92,86,81,-5,5
69184,Santa Lucia School,"40,029","19,291",0,"-19,291",0,0,0,0,5
46611,Sarah E. Goode STEM Academy,"8,355,538","8,333,295","7,971,202","-362,093",88,89,87.5,-1.5,5
25211,Sauganash Elementary School,"4,307,734","4,473,065","3,985,474","-487,592",41.5,42.5,41.5,-1,5
10610,School Safety and Security Office,"6,472,180","6,231,206","6,658,792","427,586",54,43,43,0,5
15010,School Support Center - City Wide,"3,202,417","6,571,693","8,906,731","2,335,038",37,29,88,59,5
11940,School Transportation - City Wide,"109,075,125","107,518,226","118,154,679","10,636,453","1,012.00",885,805,-80,5
55171,School of Social Justice (at Little Village),"3,476,020","3,701,643","3,415,652","-285,991",35.5,34,36.5,2.5,5
13716,Science,"740,346","782,697",0,"-782,697",4,5,0,-5,5
10871,Science Technology Engineering & Math (STEM) Programs,"3,768,053","3,778,055","2,721,851","-1,056,204",4,3,12,9,5
22281,Scott Joplin School,"4,084,079","3,894,045","3,775,617","-118,427",39.5,36,38,2,5
47061,Senn Metropolitan Academy Of Liberal Arts & Technology,"12,749,680","13,148,251","13,593,653","445,402",134,135,146,11,5
69068,Seton Academy High School,"3,722",0,0,0,0,0,0,0,5
28041,Shakespeare Multiplex,"42,483","53,212",0,"-53,212",0,0,0,0,5
23551,Sharon Christa Mcauliffe Elementary School,"6,190,101","6,282,340","6,080,877","-201,463",62,65,65,0,5
25231,Sidney Sawyer School,"13,019,650","12,658,919","12,108,787","-550,132",130.5,130,126.5,-3.5,5
49051,Simpson Academy for Young Women,"2,002,877","1,876,352","1,857,097","-19,255",19,18,17,-1,5
29391,Sir Miles Davis Magnet,"3,491,871","3,362,696","3,221,263","-141,433",35,31,30,-1,5
22591,Skinner North,"3,659,337","3,941,272","3,725,773","-215,498",39,37.5,39.5,2,5
10813,Social Science & Civic Engagement,0,"1,280,729","1,114,021","-166,708",0,6,5,-1,5
10895,Social and Emotional Learning,"3,077,230","2,205,352","2,172,586","-32,765",18,10,9,-1,5
10898,Social and Emotional Learning - City Wide,"10,841,198","10,045,603","10,460,775","415,172",17,18,21,3,5
23751,South Loop School,"6,345,419","5,587,282","5,292,052","-295,230",72.5,60,57,-3,5
22251,South Shore Fine Arts Academy,"4,866,640","4,450,863","4,432,336","-18,527",60.5,57.5,54.5,-3,5
46631,South Shore International College Prep High School,"6,033,555","6,124,467","6,280,066","155,599",65,64,66,2,5
55081,South Shore School of Leadership,300,0,0,0,0,0,0,0,5
22631,Southeast Area Elementary School,"21,808","4,080,724","4,228,802","148,077",0,34,47,13,5
49031,Southside Occupational Academy,"6,516,129","7,223,968","7,304,524","80,556",80,95,95.5,0.5,5
13737,Sports Administration - City Wide,"15,268,435","17,667,348","16,691,944","-975,404",8,12,16,4,5
46461,Spry Community Links High School,"2,151,269","2,116,249","1,981,464","-134,785",20,21,20,-1,5
69029,St Ailbe,"255,428","212,448",0,"-212,448",0,0,0,0,5
69033,St Alphonsus,"23,284","11,218",0,"-11,218",0,0,0,0,5
69037,St Angela School,"145,602","71,138",0,"-71,138",0,0,0,0,5
