oracle_id,school_name,FY 2017 Ending Budget
69367,DePaul College Prep,111584
10825,Department of Personalized Learning,1837959
46521,Devry University Advantage Academy,2365254
22951,Dewey Academy Of Multicultural Studies,4058726
22751,Dewitt Clinton School,8553479
26921,Disney II Magnet School,9525974
11675,Diverse Learner Related Services Providers - City Wide,142480884
11610,Diverse Learner Supports & Services,7601634
22981,Dodge Renaissance Academy,2671
11951,Dodge-Garfield Park,22398
24571,Donald L Morrill Mathematics & Science Specialty School,6406165
25591,Douglas Taylor Elementary School,4694402
22581,Dr Jorge Prieto Math and Science Academy,8487950
26371,Dr. Martin Luther King Jr. Academy of Social Justice,2804615
46541,DuSable Multiplex,193530
53021,Dunbar Vocational Career Academy,7836177
26831,Durkin Park School,5673951
26051,Dvorak Technology Academy,3874765
66021,Dyett High School,11891
12693,ECIA Projects,108562
63081,EPIC Academy,5988562
11360,Early Childhood Development,1091579
11385,Early Childhood Development - City Wide,78467280
13725,Early College and Career,3632375
13727,Early College and Career - City Wide,6210546
68010,Eckersall Stadium,14426
29261,Edgar Allan Poe Classical School,2009365
23071,Edgebrook School,3666756
28081,Edison Park Elementary,4713039
22411,Edmund Burke Elementary School,5726667
12670,Education General - City Wide,-196781887
23101,Edward (Duke) K Ellington School,6716722
22911,Edward C Delano School,46
22771,Edward Coles Model For Excellence School,4239682
23141,Edward Everett Elementary School,2098083
25491,Edward F Dunne School,2712257
26431,Edward H White,1975866
23951,Edward Jenner Academy Of The Arts,3263071
23911,Edward N Hurley School,6826682
53121,Edward Tilden Career Commmunity Academy,4478030
46131,Edwin G. Foreman College and Career Academy,10672391
25841,Eli Whitney School,8427748
22681,Eliza Chappell Elementary School,5808053
25561,Elizabeth H Sutherland School,5172262
25921,Ella Flagg Young School,7757918
53051,Ellen H Richards Career Academy,3326017
24511,Ellen Mitchell School,3613481
47031,Emil G Hirsch Metropolitan High School,3646071
23611,Emiliano Zapata Academy,7399243
24441,Emmit Louis Till Math and Science Academy,3423873
25631,Enrico Tonti School,8482592
69094,Epiphany School,99962
46101,Eric Solorio Academy High School,10666231
66331,Erie Elementary Charter School,4442085
25031,Ernst Prussing,5898376
23131,Esmond Elementary School,3406768
23211,Eugene Field School,2123355
22871,Everett Mckinley Dirksen School,7126193
26461,Evergreen Academy School,3163353
63144,Excel Academy - Southwest,2215186
63143,Excel Academy - Woodlawn,2337984
63142,Excel Academy of Englewood,2418514
10710,Executive Office,1505129
14040,External Affairs and Partnerships,352682
69587,Ezzard Charles School,24248
11860,Facility Operations & Maintenance,1963452
11880,Facility Opers & Maint - City Wide,299585308
26701,Fairfield Academy,4614974
14060,Family & Community Engagement Office,5564197
28221,Faraday Multiplex,28943
22341,Federico Garcia Lorca Elementary School,6815444
50191,Fenger Achievement Academy,100
24871,Ferdinand W Peck School,11311127
23201,Fernwood School,2792990
11810,Finance,12227674
26101,Florence B Price Elementary School,3071
24671,Florence Nightingale School,10141327
23241,Fort Dearborn Elementary School,3863914
23261,Foster Park School,3905651
66941,Foundations College Preparatory Charter School,2566509
24451,Francis M Mckay School,7778091
24001,Francis Scott Key School,250
31181,Francis W Parker Community Academy,5991916
69016,Francis W. Parker School,6300
41041,Francisco I Madero Middle School,3307054
22241,Frank I Bennett School,3271219
23321,Frank L Gillespie School,5120471
29121,Frank W Gunsaulus Scholastic Academy School,6594256
25101,Frank W Reilly School,8294984
29081,Franklin Fine Arts Center,3561091
25291,Franz Peter Schubert School,6937393
29411,Frazier International Magnet Elementary School,2908608
26901,Frazier Prepartatory Academy,4153432
22721,Frederic Chopin School,5792047
41061,Frederick A Douglass Academy High School,2573479
23291,Frederick Funston School,4736068
30081,Frederick Stock School,3720318
47081,Frederick W Von Steuben Metropolitan Science Center,15605599
10406,Freedom of Information Act Office,224000
23921,Friedrich L. Jahn Elementary of the Fine Arts,3649701
69103,GFP/Other Private Schools,78961
46141,Gage Park High School,6417880
66341,Galapagos Charter School,22878
29141,Galileo Scholastic Academy Of Math & Science,4999227
68100,Gately Stadium,22459
26351,Genevieve Melody School,5269040
22081,George Armstrong Elementary School,12170803
24421,George B McClellan Elementary School,3961193
