,NAME,pov_rate,tot_hhld,tot_hhld_int,unemp_rate_25_64,state,county,tract,internet_rate,emp_rate_25_64,above_pov_rate
378,"Census Tract 8258.02, Cook County, Illinois",11.1,2169,1786,16.5,17,031,825802,82.34209313047486,83.5,88.9
379,"Census Tract 8276, Cook County, Illinois",21.8,1243,881,10.0,17,031,827600,70.87691069991955,90.0,78.2
380,"Census Tract 8278.05, Cook County, Illinois",7.0,1038,807,9.6,17,031,827805,77.74566473988439,90.4,93.0
381,"Census Tract 8282.01, Cook County, Illinois",10.7,1738,1288,9.0,17,031,828201,74.10817031070196,91.0,89.3
382,"Census Tract 8096, Cook County, Illinois",12.6,1036,879,10.0,17,031,809600,84.84555984555985,90.0,87.4
383,"Census Tract 8104, Cook County, Illinois",3.8,2002,1815,2.4,17,031,810400,90.65934065934066,97.6,96.2
384,"Census Tract 8106, Cook County, Illinois",13.2,1860,1471,8.6,17,031,810600,79.08602150537635,91.4,86.8
385,"Census Tract 8109, Cook County, Illinois",5.3,2524,2035,6.8,17,031,810900,80.62599049128367,93.2,94.7
386,"Census Tract 8113.01, Cook County, Illinois",7.9,1466,1201,8.7,17,031,811301,81.92360163710778,91.3,92.1
387,"Census Tract 8113.02, Cook County, Illinois",27.6,1171,766,13.8,17,031,811302,65.41417591801878,86.2,72.4
388,"Census Tract 8121, Cook County, Illinois",6.4,1590,1505,7.9,17,031,812100,94.65408805031447,92.1,93.6
389,"Census Tract 8135, Cook County, Illinois",12.8,1897,1265,9.1,17,031,813500,66.68423827095413,90.9,87.2
390,"Census Tract 8136, Cook County, Illinois",24.4,1414,1017,7.9,17,031,813600,71.92362093352193,92.1,75.6
391,"Census Tract 8182, Cook County, Illinois",7.3,1665,1399,2.7,17,031,818200,84.02402402402403,97.3,92.7
392,"Census Tract 8189, Cook County, Illinois",5.1,1815,1461,3.2,17,031,818900,80.49586776859505,96.8,94.9
393,"Census Tract 2804, Cook County, Illinois",47.3,589,433,16.9,17,031,280400,73.5144312393888,83.1,52.7
394,"Census Tract 2922, Cook County, Illinois",43.0,947,533,24.7,17,031,292200,56.28299894403379,75.3,57.0
395,"Census Tract 3005, Cook County, Illinois",22.8,853,565,5.4,17,031,300500,66.23681125439624,94.6,77.2
396,"Census Tract 3006, Cook County, Illinois",26.9,738,455,10.8,17,031,300600,61.65311653116531,89.2,73.1
397,"Census Tract 3107, Cook County, Illinois",26.2,505,380,5.3,17,031,310700,75.24752475247524,94.7,73.8
398,"Census Tract 8520.02, Kane County, Illinois",7.0,2684,2329,2.3,17,089,852002,86.77347242921013,97.7,93.0
