crdc_id,ncessch,year,fips,leaid,enrollment_crdc,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,enrl_AP_science_crdc,enrl_AP_math_crdc,enrl_AP_other_crdc,enrl_AP_language_crdc
173597003732,173597003732,2017,Illinois,1735970,297,25.000,1.000,0.000,1776872.125,0,0,0,0,0
173597003733,173597003733,2017,Illinois,1735970,219,22.000,1.000,0.000,1567667.625,37,0,7,29,0
173609003738,173609003738,2017,Illinois,1736090,327,101.000,1.000,0.000,1652972.000,0,0,0,0,0
173609003739,173609003739,2017,Illinois,1736090,472,38.000,1.000,0.000,1679765.000,0,0,0,0,0
173609003740,173609003740,2017,Illinois,1736090,323,31.000,1.000,0.000,1252541.000,0,0,0,0,0
173609005522,173609005522,2017,Illinois,1736090,72,5.000,0.100,0.000,296165.000,0,0,0,0,0
173618003745,173618003745,2017,Illinois,1736180,228,14.500,1.000,0.000,985285.062,0,0,0,0,0
173618003746,173618003746,2017,Illinois,1736180,266,19.250,0.500,0.000,1068178.750,0,0,0,0,0
173618003747,173618003747,2017,Illinois,1736180,471,37.000,1.000,1.000,2292629.500,44,11,30,27,0
173618003748,173618003748,2017,Illinois,1736180,213,16.000,0.750,0.000,1059618.125,0,0,0,0,0
173618005341,173618005341,2017,Illinois,1736180,306,21.250,0.500,0.000,1148887.625,0,0,0,0,0
173621003749,173621003749,2017,Illinois,1736210,201,13.500,0.000,0.000,1609753.500,0,0,0,0,0
173621005739,173621005739,2017,Illinois,1736210,301,17.000,0.000,0.000,1609753.500,0,0,0,0,0
173624003750,173624003750,2017,Illinois,1736240,107,12.000,0.000,0.000,743691.938,0,0,0,0,0
173630003751,173630003751,2017,Illinois,1736300,318,31.000,0.000,1.000,1867682.250,0,0,0,0,0
173630003752,173630003752,2017,Illinois,1736300,230,27.000,0.000,1.000,1587628.500,0,0,0,0,0
173630003753,173630003753,2017,Illinois,1736300,324,33.000,0.000,1.000,1816493.625,0,0,0,0,0
173630004834,173630004834,2017,Illinois,1736300,347,33.000,0.000,1.000,1958246.625,0,0,0,0,0
173630005774,173630005774,2017,Illinois,1736300,648,58.000,0.000,1.000,4051456.250,0,0,0,0,0
173633003754,173633003754,2017,Illinois,1736330,339,30.000,0.000,0.000,1590494.000,0,0,0,0,0
173636003755,173636003755,2017,Illinois,1736360,189,13.500,0.500,0.000,922787.000,0,0,0,0,0
173636004835,173636004835,2017,Illinois,1736360,441,27.500,1.000,0.000,1445022.875,0,0,0,0,0
173645003756,173645003756,2017,Illinois,1736450,334,30.930,0.000,0.000,2791022.750,0,0,0,0,0
173645003757,173645003757,2017,Illinois,1736450,388,33.810,0.000,0.000,3016011.500,0,0,0,0,0
173645003758,173645003758,2017,Illinois,1736450,374,32.970,0.000,0.000,3139421.750,0,0,0,0,0
173645003759,173645003759,2017,Illinois,1736450,743,59.320,0.000,0.500,5248524.000,0,0,0,0,0
173648003760,173648003760,2017,Illinois,1736480,589,47.600,0.000,1.000,4362092.000,0,0,0,0,0
173648003761,173648003761,2017,Illinois,1736480,681,51.700,0.000,0.000,4424867.000,0,0,0,0,0
173648003762,173648003762,2017,Illinois,1736480,564,46.000,0.000,0.000,3773162.500,0,0,0,0,0
173651003763,173651003763,2017,Illinois,1736510,545,36.000,0.000,0.000,2518117.000,0,0,0,0,0
173657003764,173657003764,2017,Illinois,1736570,267,17.630,1.000,0.000,1156270.125,40,0,8,40,0
173657004322,173657004322,2017,Illinois,1736570,252,17.870,0.000,0.000,1205776.875,0,0,0,0,0
173657004429,173657004429,2017,Illinois,1736570,285,18.800,0.000,0.000,1459958.875,0,0,0,0,0
173660002341,173660002341,2017,Illinois,1736600,128,10.840,0.000,0.000,749099.750,0,0,0,0,0
173660003766,173660003766,2017,Illinois,1736600,236,14.830,0.000,0.000,906160.125,0,0,0,0,0
173660003768,173660003768,2017,Illinois,1736600,247,19.820,1.000,0.000,1391773.375,41,0,4,40,0
173660004430,173660004430,2017,Illinois,1736600,190,10.830,0.000,0.000,778074.188,0,0,0,0,0
173660004638,173660004638,2017,Illinois,1736600,132,10.680,0.000,0.000,676230.812,0,0,0,0,0
173661003771,173661003771,2017,Illinois,1736610,217,12.000,0.500,0.000,488586.125,0,0,0,0,0
173661004801,173661004801,2017,Illinois,1736610,261,20.000,0.500,0.000,600451.062,0,0,0,0,0
173664005069,173664005069,2017,Illinois,1736640,167,15.000,0.000,0.000,1037454.750,0,0,0,0,0
173664005070,173664005070,2017,Illinois,1736640,163,8.000,0.500,0.000,332010.125,0,0,0,0,0
173672001600,173672001600,2017,Illinois,1736720,230,10.000,0.000,0.000,451270.000,0,0,0,0,0
173672003776,173672003776,2017,Illinois,1736720,100,16.000,0.000,0.000,883807.000,0,0,0,0,0
173672003779,173672003779,2017,Illinois,1736720,315,22.000,0.000,0.000,607603.000,0,0,0,0,0
173675003780,173675003780,2017,Illinois,1736750,597,43.000,0.000,0.000,2677341.250,0,0,0,0,0
173675003781,173675003781,2017,Illinois,1736750,352,27.000,0.000,0.000,1510456.625,0,0,0,0,0
173675003782,173675003782,2017,Illinois,1736750,407,27.000,0.000,0.000,1478360.125,0,0,0,0,0
173675003783,173675003783,2017,Illinois,1736750,477,24.000,0.000,0.000,1329823.625,0,0,0,0,0
173678003784,173678003784,2017,Illinois,1736780,210,19.500,0.000,0.000,1170718.000,0,0,0,0,0
173681003786,173681003786,2017,Illinois,1736810,344,25.000,0.000,0.000,1915364.750,0,0,0,0,0
173681003787,173681003787,2017,Illinois,1736810,361,28.000,0.000,0.000,2057454.125,0,0,0,0,0
173681003788,173681003788,2017,Illinois,1736810,368,31.000,31.000,0.000,2443937.250,0,0,0,0,0
173681003790,173681003790,2017,Illinois,1736810,583,38.000,0.000,0.000,3040712.500,0,0,0,0,0
173681003791,173681003791,2017,Illinois,1736810,308,26.000,0.000,0.000,1653929.250,0,0,0,0,0
173681003794,173681003794,2017,Illinois,1736810,363,25.000,0.000,0.000,1926731.875,0,0,0,0,0
173681005027,173681005027,2017,Illinois,1736810,852,48.000,0.000,1.000,4819671.500,0,0,0,0,0
173681006065,173681006065,2017,Illinois,1736810,490,31.000,0.000,0.000,2483722.250,0,0,0,0,0
173684003795,173684003795,2017,Illinois,1736840,97,8.000,0.000,0.000,448968.000,0,0,0,0,0
173690003804,173690003804,2017,Illinois,1736900,344,28.870,1.000,0.000,2301833.000,0,0,0,0,0
173690003806,173690003806,2017,Illinois,1736900,719,47.000,0.000,0.000,3466939.000,0,0,0,0,0
173690004459,173690004459,2017,Illinois,1736900,135,11.000,0.000,0.000,852572.000,0,0,0,0,0
173696003808,173696003808,2017,Illinois,1736960,55,5.000,0.000,0.000,247659.625,0,0,0,0,0
173696003809,173696003809,2017,Illinois,1736960,102,10.000,1.000,0.000,565141.562,0,0,0,0,0
