year,date,statefips,countyfips,ctfips,latitude,longitude,ds_pm_pred,ds_pm_stdd
2016,05JAN2016,17,31,17031420700,41.77669,-87.61071,10.8853,7.529
2016,05JAN2016,17,31,17031671200,41.77671,-87.66652,11.0274,7.2775
2016,05JAN2016,17,31,17031671100,41.77679,-87.66169,11.1678,7.7448
2016,05JAN2016,17,31,17031420800,41.7769,-87.60326,11.0832,7.7475
2016,05JAN2016,17,31,17031834400,41.77694,-87.59629,11.0149,7.4495
2016,05JAN2016,17,31,17031842500,41.77695,-87.62322,10.9254,7.7173
2016,05JAN2016,17,31,17031660600,41.77725,-87.69335,11.3611,8.1666
2016,05JAN2016,17,43,17043846312,41.77841,-88.08321,11.9798,9.1564
2016,05JAN2016,17,89,17089852907,41.77852,-88.29364,11.7532,9.1919
2016,05JAN2016,17,43,17043846314,41.77858,-88.04794,11.4142,8.8371
2016,05JAN2016,17,43,17043845601,41.77945,-87.9997,11.3248,8.3074
2016,05JAN2016,17,31,17031660301,41.77996,-87.69831,11.1449,7.7135
2016,05JAN2016,17,43,17043846103,41.78025,-88.12387,11.6036,9.3198
2016,05JAN2016,17,43,17043845401,41.78052,-87.92572,11.6369,8.5545
2016,05JAN2016,17,43,17043845510,41.78084,-87.97967,11.5654,8.7705
2016,05JAN2016,17,43,17043845509,41.78089,-87.96793,11.4319,8.3165
2016,05JAN2016,17,31,17031640400,41.78119,-87.79121,11.3633,8.3752
2016,05JAN2016,17,43,17043845502,41.78156,-87.95407,11.68,8.6332
2016,05JAN2016,17,31,17031640300,41.78158,-87.77154,11.4801,8.4396
2016,05JAN2016,17,89,17089852905,41.78159,-88.32196,11.4079,9.1759
2016,05JAN2016,17,31,17031820400,41.78209,-87.81253,11.3211,8.3786
2016,05JAN2016,17,31,17031820104,41.78214,-87.87712,11.8016,9.22
2016,05JAN2016,17,31,17031640100,41.78214,-87.73976,11.4296,8.0561
2016,05JAN2016,17,31,17031650200,41.7822,-87.73019,11.3092,8.6908
2016,05JAN2016,17,31,17031650100,41.78237,-87.71783,11.2596,8.0219
2016,05JAN2016,17,31,17031660400,41.78254,-87.70803,11.3069,8.1806
2016,05JAN2016,17,31,17031400800,41.78286,-87.62056,10.9041,7.5557
2016,05JAN2016,17,31,17031835000,41.78287,-87.6862,11.014,7.8656
2016,05JAN2016,17,31,17031420100,41.78297,-87.58248,11.0487,7.4406
2016,05JAN2016,17,31,17031670600,41.783,-87.67156,10.8502,7.4879
2016,05JAN2016,17,31,17031420600,41.783,-87.61326,10.9016,7.6131
2016,05JAN2016,17,31,17031670700,41.78309,-87.66669,11.3953,7.8917
2016,05JAN2016,17,31,17031420500,41.7831,-87.60843,11.081,7.9294
2016,05JAN2016,17,31,17031670800,41.78316,-87.66186,11.2872,8.3687
2016,05JAN2016,17,31,17031420400,41.78316,-87.60356,10.8121,7.4687
2016,05JAN2016,17,31,17031420300,41.78321,-87.59869,11.1781,7.4767
2016,05JAN2016,17,31,17031670900,41.78322,-87.65704,11.2601,7.777
2016,05JAN2016,17,31,17031680600,41.7833,-87.65218,10.952,6.9794
2016,05JAN2016,17,31,17031420200,41.78341,-87.59352,10.9815,7.1159
2016,05JAN2016,17,31,17031660302,41.7836,-87.69839,11.0784,7.892
2016,05JAN2016,17,31,17031834800,41.78366,-87.64503,11.2046,8.1254
2016,05JAN2016,17,43,17043846408,41.78425,-88.24294,11.6396,9.1928
2016,05JAN2016,17,43,17043846412,41.78433,-88.1942,11.6914,9.5596
2016,05JAN2016,17,43,17043846404,41.78561,-88.15861,11.8116,9.4734
2016,05JAN2016,17,43,17043846410,41.78579,-88.2141,11.8102,9.4704
2016,05JAN2016,17,31,17031980100,41.78597,-87.75096,11.3476,8.082
2016,05JAN2016,17,31,17031670500,41.78649,-87.67652,11.1751,7.968
2016,05JAN2016,17,31,17031834600,41.7873,-87.63425,11.0292,7.6044
2016,05JAN2016,17,43,17043846105,41.7879,-88.13568,12.0311,9.9583
2016,05JAN2016,17,31,17031834500,41.78806,-87.62462,11.0713,7.7234
2016,05JAN2016,17,89,17089853008,41.78835,-88.34006,11.234,9.0028
2016,05JAN2016,17,43,17043845602,41.78835,-87.99372,11.7564,9.6651
2016,05JAN2016,17,31,17031561000,41.78851,-87.79149,11.5066,7.9121
2016,05JAN2016,17,89,17089854504,41.78863,-88.44146,11.7242,9.2698
2016,05JAN2016,17,31,17031561100,41.78889,-87.77195,11.5355,8.7923
2016,05JAN2016,17,31,17031620300,41.78951,-87.73045,11.3164,7.7711
2016,05JAN2016,17,31,17031620400,41.78967,-87.71812,11.205,7.9718
2016,05JAN2016,17,31,17031630900,41.78983,-87.70834,11.4893,8.3785
2016,05JAN2016,17,43,17043846104,41.78994,-88.10756,11.6035,8.8047
2016,05JAN2016,17,31,17031630800,41.78999,-87.69856,11.5566,7.8503
2016,05JAN2016,17,31,17031835100,41.79021,-87.68631,11.2622,8.0554
2016,05JAN2016,17,31,17031670400,41.79032,-87.67175,11.2107,7.6841
2016,05JAN2016,17,31,17031670300,41.7904,-87.66686,11.1085,7.7421
2016,05JAN2016,17,31,17031411100,41.79043,-87.5897,10.91,7.472
2016,05JAN2016,17,31,17031670200,41.79045,-87.66201,11.1024,7.6967
2016,05JAN2016,17,31,17031836200,41.79046,-87.60128,11.1254,7.7079
2016,05JAN2016,17,31,17031411000,41.79048,-87.58309,10.7878,7.1516
2016,05JAN2016,17,31,17031411200,41.7905,-87.594,10.9079,7.4297
2016,05JAN2016,17,31,17031670100,41.79052,-87.6572,11.2707,7.7134
2016,05JAN2016,17,31,17031680500,41.79059,-87.65235,10.9734,7.3826
2016,05JAN2016,17,31,17031834700,41.79071,-87.64504,10.8974,7.3347
2016,05JAN2016,17,89,17089852903,41.79096,-88.2724,11.8044,10.5855
2016,05JAN2016,17,31,17031400500,41.79108,-87.62317,10.8898,7.4731
2016,05JAN2016,17,31,17031400400,41.79115,-87.61829,10.9788,7.7125
2016,05JAN2016,17,31,17031820300,41.79198,-87.80703,11.7157,8.9064
2016,05JAN2016,17,31,17031400300,41.79314,-87.61317,10.7975,7.0736
